page_path,link_url,link_text,http_status_code,http_status,final_url
https://www.va.gov/milwaukee-health-care/stories/milwaukee-va-marks-hanukkah-with-menorah-lighting-ceremony/,https://www.nytimes.com/2017/12/12/opinion/happy-hanukkah-candles-swastikas.html,famous photo taken by Rachel Posner in Germany in 1931,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.nytimes.com/2017/12/12/opinion/happy-hanukkah-candles-swastikas.html
https://www.va.gov/minneapolis-health-care/programs/va-epilepsy-center-of-excellence/,https://www.epilepsy.com/lifestyle/driving-and-transportation/laws,Epilepsy Foundation,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.epilepsy.com/lifestyle/driving-and-transportation/laws
https://www.va.gov/minneapolis-health-care/programs/va-epilepsy-center-of-excellence/,https://www.epilepsy.com/manage/tracking/seizure-diaries,Epilepsy Foundation,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.epilepsy.com/manage/tracking/seizure-diaries
https://www.va.gov/minneapolis-health-care/programs/va-epilepsy-center-of-excellence/,https://www.epilepsy.com/,Epilepsy Foundation,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.epilepsy.com/
https://www.va.gov/birmingham-health-care/stories/birmingham-va-pact-act-open-house-provides-information-toxic-exposure-screening-to-veterans/,https://gcc02.safelinks.protection.outlook.com/?url=https%3A//vets.force.com/VAVERA/s/&data=05%7C01%7C%7C38e401fea8d147050faa08dae9c4767f%7Ce95f1b23abaf45ee821db7ab251ab3bf%7C0%7C0%7C638079327251844786%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=zaFU3W275eEUPvPIJ3UXpfJr49GzC0tgmdMaNdKa6%2Bs%3D&reserved=0,https://vets.force.com/VAVERA/s/,404,"Rejected status code (this depends on your ""accept"" configuration)",https://gcc02.safelinks.protection.outlook.com/?url=https%3A//vets.force.com/VAVERA/s/&data=05%7C01%7C%7C38e401fea8d147050faa08dae9c4767f%7Ce95f1b23abaf45ee821db7ab251ab3bf%7C0%7C0%7C638079327251844786%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=zaFU3W275eEUPvPIJ3UXpfJr49GzC0tgmdMaNdKa6%2Bs%3D&reserved=0
https://www.va.gov/columbia-missouri-health-care/contact-us/,https://www.va.gov/oig/hotline/,,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.va.gov/oig/hotline/
https://www.va.gov/columbia-missouri-health-care/contact-us/,https://www.jointcommission.org/resources/patient-safety-topics/report-a-patient-safety-concern-or-complaint/,https://www.jointcommission.org/resources/patient-safety-topics/report-a-patient-safety-concern-or-complaint/,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.jointcommission.org/resources/patient-safety-topics/report-a-patient-safety-concern-or-complaint/
https://www.va.gov/corpus-christi-vet-center/,https://www.nuecesco.com/county-services/veterans-services,Veterans Services,403,"Rejected status code (this depends on your ""accept"" configuration)",https://www.nuecesco.com/county-services/veterans-services
https://www.va.gov/greater-los-angeles-health-care/news-releases/va-signs-leases-to-add-housing-for-260-homeless-and-at-risk-veterans-on-west-los-angeles-campus/,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5836,,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5836
https://www.va.gov/houston-health-care/staff-profiles/kelly-a-irving/,https://www.va.gov/houston-health-care/staff-profiles/kelly-a-irving/#content,Skip to Content,404,"Rejected status code (this depends on your ""accept"" configuration)",https://www.va.gov/houston-health-care/staff-profiles/kelly-a-irving/#content
